,Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code
283,1833971,3,3453900.0,3934675.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,31.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
286,1833979,3,3453916.0,3934696.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,47.0,26.0,,1.0,,,,,,,0.0
288,1833979,3,3453917.0,3934697.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,39.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
291,1833986,3,3453930.0,3934714.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,1.0,9.0,2.0,1.0,,,,,38.0,16.0,26.0,,27.0,,,,,0.0,0.0,0.0
293,1833986,3,3453931.0,3934715.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,37.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
294,1833986,3,3453931.0,3934716.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,9.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
297,1834003,3,3453959.0,3934752.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,2.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
299,1834003,3,3453960.0,3934753.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,48.0,1.0,2.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
302,1834029,3,3453999.0,3934799.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,35.0,2.0,4.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
304,1834029,3,3454000.0,3934800.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
307,1834096,3,3454139.0,3934963.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,57.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,26.0,,,29.0,,,,,,,0.0
309,1834096,3,3454140.0,3934964.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,32.0,1.0,1.0,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
312,1834202,3,3454350.0,3935224.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,45.0,2.0,4.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
314,1834202,3,3454351.0,3935225.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,41.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
317,1834407,3,3454750.0,3935704.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,21.0,3.0,3.0,9.0,0.0,,,,,,25.0,51.0,,,33.0,16.0,,,86.0,9.0,9.0,0.0
318,1834407,3,3454750.0,3935705.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,19.0,,,4.0,0.0,1.0,,,,,0.0,0.0,,,0.0,,,,,9.0,9.0,0.0
321,1834440,3,3454816.0,3935781.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,1.0,9.0,2.0,0.0,,,,,38.0,16.0,26.0,,27.0,,,,,,,0.0
323,1834440,3,3454817.0,3935782.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,56.0,1.0,1.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
324,1834440,3,3454817.0,3935783.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
327,1834574,3,3455078.0,3936093.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,79.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,28.0,,,2.0,8.0,,,86.0,0.0,0.0,0.0
329,1834574,3,3455079.0,3936094.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,48.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
330,1834574,3,3455079.0,3936095.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,21.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
333,1834655,3,3455237.0,3936289.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,0.0
335,1834655,3,3455238.0,3936290.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,28.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
336,1834655,3,3455238.0,3936291.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,27.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
337,1834655,3,3455238.0,3936292.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,,,4.0,4.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
338,1834655,3,3455238.0,3936293.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,,,4.0,4.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
341,1834846,3,3455611.0,3936733.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,1.0,,0.0
344,1834858,3,3455630.0,3936755.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
346,1834858,3,3455631.0,3936756.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
349,1835060,3,3455994.0,3937146.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
352,1835061,3,3455995.0,3937147.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
355,1835182,3,3456216.0,3937389.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
357,1835182,3,3456217.0,3937390.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
360,1835197,3,3456247.0,3937422.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
362,1835197,3,3456248.0,3937423.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
365,1835205,3,3456264.0,3937439.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
368,1835211,3,3456274.0,3937450.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,56.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,0.0
370,1835211,3,3456275.0,3937451.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,24.0,1.0,1.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
371,1835211,3,3456275.0,3937452.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
374,1835217,3,3456284.0,3937462.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
377,1835225,3,3456296.0,3937474.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
379,1835225,3,3456297.0,3937475.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
382,1835231,3,3456309.0,3937489.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,1.0,9.0,2.0,0.0,,,,,28.0,81.0,,,17.0,,,,,,,0.0
383,1835231,3,3456309.0,3937490.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,84.0,,,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
386,1835315,3,3456464.0,3937657.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
389,1835316,3,3456465.0,3937658.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
391,1835316,3,3456466.0,3937659.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
394,1835322,3,3456476.0,3937669.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
396,1835322,3,3456477.0,3937670.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
399,1835330,3,3456491.0,3937688.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
401,1835330,3,3456492.0,3937689.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
404,1835332,3,3456495.0,3937692.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
407,1835374,3,3456574.0,3937776.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
409,1835374,3,3456575.0,3937777.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
412,1835382,3,3456590.0,3937794.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
414,1835382,3,3456591.0,3937795.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
417,1835386,3,3456598.0,3937805.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,8.0,1.0,0.0,0.0
420,1835459,3,3456732.0,3937947.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
422,1835459,3,3456733.0,3937948.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
425,1835471,3,3456753.0,3937968.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
427,1835471,3,3456754.0,3937969.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
430,1835511,3,3456831.0,3938057.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
432,1835511,3,3456832.0,3938058.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
435,1835592,3,3456989.0,3938231.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,42.0,1.0,1.0,4.0,2.0,,,,,,0.0,42.0,,,29.0,,,,,,,0.0
437,1835592,3,3456990.0,3938232.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,56.0,1.0,1.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
440,1835606,3,3457017.0,3938261.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,46.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
442,1835606,3,3457018.0,3938262.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,28.0,,,2.0,,,,,,,0.0
445,1835807,3,3457393.0,3938686.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
447,1835807,3,3457394.0,3938687.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
450,1836755,3,3459166.0,3940707.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,16.0,1.0,1.0,4.0,2.0,1.0,,,,,38.0,16.0,43.0,,27.0,7.0,,116.0,86.0,0.0,0.0,0.0
452,1836755,3,3459167.0,3940708.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,43.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
455,1836788,3,3459229.0,3940773.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
457,1836788,3,3459230.0,3940774.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
460,1836814,3,3459277.0,3940824.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,67.0,1.0,1.0,4.0,2.0,1.0,,,,,0.0,4.0,28.0,,8.0,2.0,,,,0.0,0.0,0.0
462,1836814,3,3459278.0,3940825.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,22.0,3.0,1.0,9.0,2.0,1.0,,,,,17.0,81.0,,,0.0,,,,,0.0,0.0,0.0
465,1836948,3,3459511.0,3941098.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,1.0,1.0,9.0,9.0,,,,,,0.0,42.0,,,29.0,,,,,,,0.0
467,1836948,3,3459512.0,3941099.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,46.0,1.0,1.0,3.0,2.0,0.0,,,,,17.0,0.0,,,0.0,,,,,,,0.0
468,1836948,3,3459512.0,3941100.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,10.0,,,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
471,1837049,3,3459706.0,3941320.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,51.0,47.0,80.0,33.0,1.0,,,18.0,1.0,,0.0
474,1837085,3,3459771.0,3941392.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,73.0,1.0,1.0,9.0,2.0,1.0,,,,,38.0,52.0,16.0,26.0,32.0,27.0,29.0,,,0.0,0.0,0.0
476,1837085,3,3459772.0,3941393.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,66.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
477,1837085,3,3459772.0,3941394.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,10.0,,,4.0,4.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
480,1837128,3,3459854.0,3941488.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,77.0,1.0,2.0,4.0,2.0,1.0,,,,,0.0,20.0,47.0,,4.0,1.0,,,,,,0.0
482,1837128,3,3459855.0,3941489.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,32.0,1.0,1.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
485,1837131,3,3459860.0,3941494.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
488,1837205,3,3459998.0,3941640.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,59.0,1.0,1.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
490,1837205,3,3459999.0,3941641.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,53.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
492,1837205,3,3460000.0,3941642.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,32.0,2.0,4.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
495,1837283,3,3460139.0,3941801.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
497,1837283,3,3460140.0,3941802.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
500,1837334,3,3460235.0,3941905.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,56.0,2.0,4.0,4.0,2.0,,,,,,0.0,28.0,,,2.0,,,,,,,0.0
502,1837334,3,3460236.0,3941906.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
503,1837334,3,3460236.0,3941907.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,17.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
506,1837497,3,3460535.0,3942247.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,2.0,9.0,2.0,1.0,,,,,17.0,47.0,80.0,,1.0,5.0,,,86.0,0.0,0.0,0.0
508,1837497,3,3460536.0,3942248.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,56.0,1.0,2.0,9.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
509,1837497,3,3460536.0,3942249.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,50.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
512,1837551,3,3460634.0,3942361.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,27.0,1.0,1.0,3.0,2.0,1.0,,,,,17.0,47.0,79.0,,1.0,5.0,,,86.0,0.0,0.0,0.0
515,1837808,3,3461130.0,3942959.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,29.0,2.0,4.0,9.0,2.0,,,,,,0.0,6.0,,,8.0,,,,,,,0.0
517,1837808,3,3461131.0,3942960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,18.0,1.0,2.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
520,1837834,3,3461179.0,3943018.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,23.0,3.0,1.0,9.0,2.0,0.0,,,,,0.0,47.0,80.0,,1.0,,,,86.0,0.0,0.0,0.0
522,1837834,3,3461180.0,3943019.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,37.0,1.0,2.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
525,1838047,3,3461582.0,3943495.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,1.0,3.0,2.0,1.0,,,,,25.0,80.0,,,16.0,,,,8.0,1.0,0.0,0.0
527,1838047,3,3461583.0,3943496.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,62.0,2.0,4.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
530,1838362,3,3462197.0,3944199.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,40.0,1.0,2.0,9.0,2.0,0.0,,,,,17.0,80.0,,,5.0,,,,86.0,0.0,0.0,0.0
532,1838362,3,3462198.0,3944200.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,44.0,1.0,2.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
534,1838362,3,3462199.0,3944201.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,54.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
537,1838375,3,3462221.0,3944232.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
539,1838375,3,3462222.0,3944233.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,18.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,28.0,,,2.0,,,,,,,0.0
542,1838403,3,3462273.0,3944292.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73.0,1.0,2.0,3.0,2.0,0.0,,,,,17.0,47.0,79.0,,1.0,5.0,,,,0.0,0.0,0.0
545,1838434,3,3462326.0,3944352.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,80.0,,,5.0,,,,12.0,1.0,0.0,0.0
547,1838434,3,3462327.0,3944353.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
549,1838434,3,3462328.0,3944354.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
552,1838471,3,3462400.0,3944435.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,2.0,4.0,2.0,0.0,,,,,17.0,79.0,47.0,,1.0,,,,86.0,0.0,0.0,0.0
555,1838549,3,3462564.0,3944629.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,31.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
556,1838549,3,3462564.0,3944630.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,23.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
557,1838549,3,3462564.0,3944631.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,7.0,,,3.0,4.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
558,1838549,3,3462564.0,3944632.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,5.0,,,3.0,4.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
560,1838549,3,3462565.0,3944633.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,28.0,,,2.0,,,,86.0,0.0,0.0,0.0
563,1838681,3,3462829.0,3944936.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,62.0,1.0,1.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
565,1838681,3,3462830.0,3944937.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,51.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
568,1839606,3,3464706.0,3947145.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,22.0,1.0,2.0,9.0,2.0,0.0,,,,,38.0,16.0,26.0,,27.0,29.0,,,,0.0,0.0,0.0
570,1839606,3,3464707.0,3947146.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,31.0,1.0,1.0,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
571,1839606,3,3464707.0,3947147.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,,4.0,4.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
574,1839856,3,3465226.0,3947753.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.0,1.0,1.0,9.0,0.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
576,1839856,3,3465227.0,3947754.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,38.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
577,1839856,3,3465227.0,3947755.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,36.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
580,1840093,3,3465681.0,3948288.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,38.0,3.0,1.0,9.0,2.0,,,,,,0.0,43.0,26.0,52.0,7.0,29.0,32.0,,,,,0.0
582,1840093,3,3465682.0,3948289.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,20.0,0.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
583,1840093,3,3465682.0,3948290.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,24.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
586,1840135,3,3465768.0,3948381.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.0,1.0,1.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
587,1840135,3,0.0,3948382.0,2.0,,1.0,6.0,0.0,0.0,1.0,30.0,,,4.0,9.0,,1.0,5.0,1.0,2.0,35.0,20.0,16.0,,28.0,,,,,,,0.0
590,1840155,3,3465807.0,3948428.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
592,1840155,3,3465808.0,3948429.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,27.0,1.0,1.0,4.0,9.0,,,,,,0.0,4.0,28.0,,2.0,,,108.0,,0.0,0.0,0.0
